id;open_ts;open_px;qty_open;qty_closed;method
1;2025-11-11T14:55:32;12354.67;16051.55;26293.18;spring
2;2025-11-12T10:32:42;23612.2;28289.11;25203.26;afterwards boohoo
3;2025-11-12T09:03:11;14828;9790.73;8119.71;aw mammoth after
4;2025-11-11T21:35:04;21674.78;24761.29;32592.36;hyphenation gee
5;2025-11-11T19:24:17;9902.35;26598.5;21034.04;swift
6;2025-11-11T14:52:01;32121.24;32377.77;5314.55;geez
7;2025-11-11T19:26:49;32740.68;21306.15;14121.5;speedily gadzooks cow
8;2025-11-12T12:31:56;22078;13095.12;6736.86;extent hopelessly
9;2025-11-12T08:12:42;8445.24;30038.06;14131.02;shakily hmph pine
10;2025-11-11T23:30:24;12408.54;26687.81;9431.54;pro provided once
